n,status,underline_delta,dual_ray_found,dual_status,dual_blocks_all_feasible,delta_achieved,kappa_min,mu_min,max_kappa_B,s_0,Lambda,sigma_star,admissible,N_max,mu0,delta_target,N_required,start_origin,gamma,n_min_green,time_direct_s,time_sdp_s,alpha,rho,kappa_min_by_sigma,grid_vs_exact
2,optimal,0.00017667238619306636,False,dual_certified,True,0.03402325407922424,1.001246705050442,0.04992887122593626,0.9702269092939262,0.058659744481955434,0.03793774044913434,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,60.0,phase1,2.5963737477463176,2.6153122799751003,25.661961317062378,0.03980135917663574,"[-0.4556786058744327, 0.9113572117494103, -0.4556786058749776]","[1.0, 0.6340175738806445, 1.5772433465524058, 1.0]","{""(1,)"": -0.9899925135170271, ""(-1,)"": 1.0012467051311271}","{""delta_discrepancy"": 8.007483565108942e-15, ""kappa_min_discrepancy"": 8.06850142254234e-11}"
3,optimal,4.595694121072068e-06,False,dual_certified,True,1.5082007122592236,1.0012467050478722,0.04992887117448554,0.9310076876082922,0.13322468561425915,1.873933330731603,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,zero_pad_from_n2,2.5963737477463176,2.6153122799751003,1.4185881614685059,0.03326106071472168,"[0.5626486811980397, 0.27394500123571053, -0.2739449999564099, -0.5626486824773402]","[1.0, 1.7553156199889877, 2.3084901184149746, 1.7553156222345638, 0.9999999999999999]","{""(1,)"": -0.9998625157645401, ""(-1,)"": 1.0012467050504401}","{""delta_discrepancy"": 2.5468294140296166e-11, ""kappa_min_discrepancy"": 2.567945855957987e-12}"
4,optimal,4.983864959297237e-07,False,dual_certified,True,0.0021340352196403956,1.0012467050504235,0.04992887122556285,0.87628281472713,0.23212842861389582,0.007197563378635863,[1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,zero_pad_from_n3,2.5963737477463176,2.6153122799751003,4.0262510776519775,0.036942481994628906,"[-0.47714489760957596, 1.122718230732076, -1.172238082590192, 0.5906637159351782, -0.06399896646748626]","[1.0, 0.6205526061895202, 1.9070801080860624, 0.5905713921497351, 1.066091296920918, 1.0]","{""(1,)"": 1.0012467051310312, ""(-1,)"": 1.0012467050698877}","{""delta_discrepancy"": 2.401749403654549e-08, ""kappa_min_discrepancy"": 8.060774270290949e-11}"
5,optimal,2.9271099290396947e-08,False,dual_certified,True,0.000138907937980548,1.001246705050436,0.04992887122581179,1.0000591355277282,-0.00011827455273305532,,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,random_2,2.5963737477463176,2.6153122799751003,5.6976940631866455,0.07976126670837402,"[0.3896776701509197, -1.0884137356945822, 1.4867389430072817, -1.4867390614267655, 1.0884140941358877, -0.38967791017274145]","[1.0, 1.4765047956046036, 0.49721335188958754, 2.1990003647943284, 0.49721329300984257, 1.476505149998017, 1.0]","{""(1,)"": 1.0012467050504383, ""(-1,)"": 1.007485373174444}","{""delta_discrepancy"": 3.5778934706143847e-07, ""kappa_min_discrepancy"": 0.006238668124008084}"
6,optimal,1.1857997472722819e-07,False,dual_certified,True,0.0010845778668624462,1.0012467050504361,0.04992887122581624,1.0002223799197794,-0.00044480929236101474,,[-1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,zero_pad_from_n4,2.5963737477463176,2.6153122799751003,14.473116636276245,0.05204153060913086,"[-0.4303816991880285, 1.10642040312454, -0.9047112313810921, -0.3504305204509917, 1.1586231310395945, -0.7559898825051767, 0.1764697993611546]","[1.0, 0.6502608433117507, 1.9660740846237086, 0.795589024421844, 0.560400793876491, 1.7851814864491873, 0.8382240936760498, 1.0]","{""(1,)"": 1.0012467050531864, ""(-1,)"": 1.001246728547331}","{""delta_discrepancy"": 5.690106052922122e-06, ""kappa_min_discrepancy"": 2.3496894874242003e-08}"
7,optimal,2.6366981606593167e-08,False,dual_certified,True,9.858093108050525e-05,1.0012467050504368,0.04992887122582958,1.0000090478258732,-1.8095699488185346e-05,,[1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,zero_pad_from_n5,2.5963737477463176,2.6153122799751003,19.30780529975891,0.05586099624633789,"[0.37065922564772036, -1.0815986211707005, 1.5335831040767371, -1.6435187528621784, 1.5187609202744075, -1.0183172633451318, 0.28128948952871047, 0.039141897850435314]","[1.0, 1.448689313098676, 0.49118256596419957, 2.276510318853933, 0.44004642586412124, 2.009499881557797, 0.7258358531003819, 0.9616142484700513, 0.9999999999999997]","{""(1,)"": 1.001246705050505, ""(-1,)"": 1.0012467050532685}","{""delta_discrepancy"": 2.369123423881972e-06, ""kappa_min_discrepancy"": 6.816769371198461e-14}"
8,phase2_infeasible,2.0265868511676406e-08,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,2.5963737477463176,2.6153122799751003,24.49348497390747,0.0659022331237793,null,null,"{""(1,)"": 1.001246690162173, ""(-1,)"": 1.0012467050504328}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
9,optimal,2.6727029910796526e-08,False,dual_certified,True,0.002898087291214324,1.0012466136829663,0.049927041999729416,1.000001506499995,-3.0130022565799663e-06,,[1],False,60,0.04992887122589985,2.8058361391694725e-06,61.0,random_2,2.5963737477463176,2.6153122799751003,27.030874729156494,0.07409238815307617,"[0.5709687443945566, -1.258686885401096, 0.7579397399537509, 0.18326314693929657, 0.19247377332009363, -0.18972896910061307, -0.9471072927207591, 0.9035712998283346, 0.14341676145526866, -0.3561103186688328]","[1.0, 1.7699808802248773, 0.5027219017472784, 1.0727458742733469, 1.2885077242923193, 1.5619866727434415, 1.2920492839512434, 0.5011360075343201, 1.2370055217368987, 1.4277650487156452, 0.9999999999999999]","{""(1,)"": 1.001246705050627, ""(-1,)"": 1.0012467050524847}","{""delta_discrepancy"": 1.9466005736481704e-06, ""kappa_min_discrepancy"": 9.136766077055825e-08}"
10,phase2_infeasible,5.007762054412918e-09,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,2.5963737477463176,2.6153122799751003,20.574204921722412,0.08336496353149414,null,null,"{""(1,)"": 1.0012467052235001, ""(-1,)"": 1.0012467050567309}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
11,phase2_infeasible,9.93956387251609e-09,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,2.5963737477463176,2.6153122799751003,24.169569969177246,0.09495687484741211,null,null,"{""(1,)"": 1.0012467050519998, ""(-1,)"": 1.0012467124407014}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
