n,status,underline_delta,dual_ray_found,dual_status,dual_blocks_all_feasible,delta_achieved,kappa_min,mu_min,max_kappa_B,s_0,Lambda,sigma_star,admissible,N_max,mu0,delta_target,N_required,start_origin,gamma,n_min_green,time_direct_s,time_sdp_s,alpha,rho,kappa_min_by_sigma,grid_vs_exact
2,phase2_infeasible,0.006050232652913157,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,,,18.589834690093994,0.05552196502685547,null,null,"{""(1, 1)"": -0.4161468521037805, ""(1, -1)"": -1.0000000349033902, ""(-1, 1)"": 1.0012467050504386, ""(-1, -1)"": -1.0000000349033902}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
3,optimal,0.0014541340884357545,False,dual_certified,True,1.1832972612545802,1.001246705050431,0.049928871225713996,1.0000000000000004,8.881784197001252e-16,,"[-1, -1]",False,60,0.04992887122589985,2.8058361391694725e-06,61.0,random_0,,,18.449466705322266,0.04885268211364746,"[0.4328286258140654, 0.2757349113895103, 0.1731022685449319, -0.8816658057485076]","[1.0, 1.541612005558972, 2.031071603365588, 2.414919143878785, 0.9999999999999999]","{""(1, 1)"": -1.0000011739809451, ""(1, -1)"": -0.9899926949372859, ""(-1, 1)"": -1.0000011739809451, ""(-1, -1)"": 1.001246705050465}","{""delta_discrepancy"": 8.881784197001252e-16, ""kappa_min_discrepancy"": 3.397282455352979e-14}"
4,optimal,0.0007253433475991118,False,dual_certified,True,1.1581607536309981,1.0012467050504434,0.049928871225962936,1.0000716502085156,-0.0001433055507846781,,"[-1, 1]",False,60,0.04992887122589985,2.8058361391694725e-06,60.0,random_1,,,26.98276376724243,0.1004643440246582,"[0.34747249738087244, -0.7148312830351972, -0.41978899184263396, -0.06263195019346196, 0.8497797276904206]","[1.0, 1.415485380524045, 0.6925611194689435, 0.45514110942972785, 0.4275090899927599, 0.9999999999999999]","{""(1, 1)"": 1.001246705049351, ""(1, -1)"": -1.0000000014801964, ""(-1, 1)"": 1.0012467050504401, ""(-1, -1)"": -1.0000000014801964}","{""delta_discrepancy"": 5.129230373768223e-14, ""kappa_min_discrepancy"": 3.3306690738754696e-15}"
5,phase2_infeasible,0.0006222474653827248,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,,,39.04980707168579,0.06701517105102539,null,null,"{""(1, 1)"": -1.0000001062453217, ""(1, -1)"": 1.0012467050508127, ""(-1, 1)"": -1.0000001062453217, ""(-1, -1)"": 1.0012467050504397}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
6,phase2_infeasible,0.0005970983301541027,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,,,49.60518455505371,0.09041357040405273,null,null,"{""(1, 1)"": 1.0012467055541145, ""(1, -1)"": -1.0000002236337862, ""(-1, 1)"": 1.0012467050510272, ""(-1, -1)"": -1.0000002236337862}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
7,phase2_infeasible,8.098058536373798e-05,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,,,68.49533200263977,0.09808468818664551,null,null,"{""(1, 1)"": -1.0000047092879507, ""(1, -1)"": 1.0012467050503644, ""(-1, 1)"": -1.0000047092879507, ""(-1, -1)"": 1.0012467050506437}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
8,phase2_infeasible,4.779990132945319e-05,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,,,74.1099534034729,0.11263918876647949,null,null,"{""(1, 1)"": 1.0012467050504414, ""(1, -1)"": -1.0000032843405693, ""(-1, 1)"": 4552287567554.115, ""(-1, -1)"": -1.0000032843405693}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
9,phase2_infeasible,4.525373462879387e-05,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,,,79.44147801399231,0.14504122734069824,null,null,"{""(1, 1)"": -1.0000013802880117, ""(1, -1)"": 1.001245782908002, ""(-1, 1)"": -1.0000013802880117, ""(-1, -1)"": 1.0012467050505487}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
10,phase2_infeasible,2.1872165804312158e-05,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,,,99.37780809402466,0.19159460067749023,null,null,"{""(1, 1)"": 1.0012467050504847, ""(1, -1)"": -1.0000000005151677, ""(-1, 1)"": 1.0012467050504632, ""(-1, -1)"": -1.0000000005151677}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
11,phase2_infeasible,4.997854069487516e-06,False,dual_certified,True,,,,,,,,False,60,0.04992887122589985,2.8058361391694725e-06,,,,,131.67290663719177,0.17722654342651367,null,null,"{""(1, 1)"": -1.0000000860912743, ""(1, -1)"": 1.0012467051239502, ""(-1, 1)"": -1.0000000860912743, ""(-1, -1)"": 1.0012467050505334}","{""delta_discrepancy"": null, ""kappa_min_discrepancy"": null}"
