n,status,underline_delta,dual_ray_found,dual_status,dual_blocks_all_feasible,delta_achieved,kappa_min,mu_min,s_0,sigma_star,admissible,N_required,start_origin,gamma,n_min_green,time_direct_s,time_sdp_s,alpha,rho,kappa_min_by_sigma,grid_vs_exact
2,optimal,0.010008331765425371,False,dual_certified,True,41.13823193641911,1.001250260437219,0.04999999997701104,-36.79909864226283,[-1],False,59.86445695005205,random_0,1.762747174039086,-5.507068360526,60.1930365562439,0.08577799797058105,"[-1.5403467463224512, 1.1138068203186446, 0.4265399260038065]","[1.0, 0.21430677845480842, 0.6527638028051898, 0.9999999999999998]","{""(1,)"": -1.153872676520896e-08, ""(-1,)"": 1.001250260439195}","{""delta_discrepancy"": 2.625410999712585e-06, ""kappa_min_discrepancy"": 1.9759749392278536e-12}"
3,optimal,0.0018677623616886185,False,dual_certified,True,2.982501725524978,1.0012502604383684,0.04999999999998752,-0.054840373730648984,[-1],False,59.86445692254256,zero_pad_from_n2,1.762747174039086,-4.018383260554098,68.41779065132141,0.07872748374938965,"[-0.9129705932745019, 0.09078395472354318, -0.09078395472315094, 0.9129705932741097]","[1.0, 0.4013302625458821, 0.43946964184149623, 0.40133026254603954, 1.0]","{""(1,)"": 1.001250260438428, ""(-1,)"": 1.0012502604387283}","{""delta_discrepancy"": 3.064215547965432e-14, ""kappa_min_discrepancy"": 3.5993430458347575e-13}"
4,optimal,0.0006392515105811958,False,dual_certified,True,0.3276100211508204,1.0012502604383615,0.04999999999984991,-0.32586069650759647,[-1],False,59.86445692270732,zero_pad_from_n3,1.762747174039086,-2.7653993817847287,10.512015342712402,0.07915472984313965,"[-0.4183773725944116, -0.20311200837450474, 1.966404995942493e-10, 0.20311200769083046, 0.4183773730814454]","[1.0, 0.6581138274354347, 0.5371438297400337, 0.5371438298456579, 0.658113827114911, 0.9999999999999999]","{""(1,)"": 1.00125026043851, ""(-1,)"": 1.0012502604383695}","{""delta_discrepancy"": 2.3592239273284576e-13, ""kappa_min_discrepancy"": 7.993605777301127e-15}"
5,optimal,4.5787367446110255e-05,False,dual_certified,True,0.012282000262576753,1.0012502604383717,0.050000000000054105,-0.01086026856741066,[-1],False,59.864456922462836,zero_pad_from_n3,1.762747174039086,-0.9025745863864049,37.019948959350586,0.17497634887695312,"[-0.24797341136938758, -0.10584681048003532, -0.20115078236016337, 0.2011507823597556, 0.10584681065638311, 0.24797341119344762]","[1.0, 0.780380692256153, 0.7020011604820051, 0.5740889071167335, 0.7020011604817187, 0.7803806923934531, 0.9999999999999998]","{""(1,)"": 1.0012502639165461, ""(-1,)"": 1.0012502604779743}","{""delta_discrepancy"": 1.2070930801612312e-07, ""kappa_min_discrepancy"": 3.9602543466799034e-11}"
6,optimal,1.5816717413378797e-05,False,dual_certified,True,0.05091602176415888,1.0012502604375277,0.049999999983181304,-0.005048633925333057,[-1],False,59.86445694266446,zero_pad_from_n3,1.762747174039086,-1.7092942720664233,44.06837844848633,0.09814643859863281,"[-0.3654396580279756, -0.36368911138281884, -0.3459474544251245, -1.007197226512017e-08, 0.3459474651526628, 0.3636891007078303, 0.3654396680473981]","[1.0, 0.693891508831417, 0.4823290268914683, 0.3412717412683514, 0.3412717378310719, 0.4823290272076668, 0.6938915018790249, 1.0]","{""(1,)"": 1.0012502969742176, ""(-1,)"": 1.0012502604383902}","{""delta_discrepancy"": 2.6083580615191004e-06, ""kappa_min_discrepancy"": 8.624212455288216e-13}"
7,optimal,1.1035371934865453e-06,False,dual_certified,True,0.11017501287778941,1.0012502604362705,0.04999999995804745,-0.10519983152442589,[-1],False,59.86445697275695,phase1,1.762747174039086,-2.147186044364019,42.75668907165527,0.10613036155700684,"[0.6780616677752781, 0.3430403471307043, 0.9649875930005564, -0.05116174494177706, 0.051161754449088284, -0.9649875928243503, -0.3430403470753904, -0.6780616775141091]","[1.0, 1.9700554070791596, 2.776252550485084, 7.2869830156142275, 6.923544593383332, 7.286983084893842, 2.7762525773689735, 1.9700554262651966, 1.0]","{""(1,)"": 1.0012502604383726, ""(-1,)"": 1.001250260440104}","{""delta_discrepancy"": 1.8033445706722162e-05, ""kappa_min_discrepancy"": 3.8333780594257405e-12}"
8,optimal,4.24041890825696e-07,False,dual_certified,True,0.09523448496585107,1.0012502604383524,0.04999999999966791,-0.006052797580253788,[1],False,59.86445692292523,phase1,1.762747174039086,-2.0645150768438083,40.68696331977844,0.1171259880065918,"[-0.5559321663991813, -0.07705715381979207, -0.27143061612857333, 0.7755053255718668, 0.25782922137373865, 0.7755053256259766, -0.27143061608570473, -0.07705715382266407, -0.5559321663156666]","[1.0, 0.5735373796618751, 0.5310020908278867, 0.40477661321850433, 0.8790490236552299, 1.1375929816339647, 2.4704984606822475, 1.8832317559432854, 1.7435655205350835, 0.9999999999999998]","{""(1,)"": 1.0012502607686604, ""(-1,)"": 1.0012502622214021}","{""delta_discrepancy"": 4.952902390997771e-06, ""kappa_min_discrepancy"": 3.3030800317135345e-10}"
9,optimal,2.7860987426317843e-08,False,dual_certified,True,0.006197630252827491,1.0012502604383693,0.050000000000005276,-0.006183293984352023,[1],False,59.8644569225213,random_1,1.762747174039086,-0.5145621671025498,50.77961850166321,0.20580172538757324,"[-0.2310012424333242, -0.1826227651071973, -0.1780247120516274, 0.2117868824107642, 0.3798615904763423, 0.3798616519043349, 0.21178702877168792, -0.17802455261644903, -0.1826226713895871, -0.23100120996494428]","[1.0, 0.793738479867492, 0.6612495293681141, 0.5534141074731792, 0.6839558999595986, 0.9999997532949881, 1.462081938436486, 1.806964623552421, 1.5122882201059733, 1.259860763835668, 1.0]","{""(1,)"": 1.0012502604383697, ""(-1,)"": 1.0012502626312818}","{""delta_discrepancy"": 1.0728390822415876e-06, ""kappa_min_discrepancy"": 4.440892098500626e-16}"
10,optimal,9.361442478296174e-09,False,dual_certified,True,1.788161417670686e-05,1.001250260438388,0.05000000000037816,-1.7718408349187698e-05,[1],False,59.86445692207485,random_0,1.762747174039086,2.8030714236940293,159.06984066963196,0.19911932945251465,"[0.0605517362708028, 0.1467824969668717, 0.27291703972702486, 0.29582220928446273, 0.21319777029718312, -1.8974347866371063e-10, -0.21319777044631397, -0.2958222093411886, -0.2729170395424449, -0.14678249684969294, -0.06055173617696133]","[1.0, 1.0624225619298582, 1.2303937415474757, 1.6164805290213162, 2.1729234704060483, 2.689273956527571, 2.6892739560172987, 2.1729234696697004, 1.6164805283818364, 1.2303937412878376, 1.0624225618301588, 0.9999999999999999]","{""(1,)"": 1.0012502604383688, ""(-1,)"": 1063.6106073399092}","{""delta_discrepancy"": 7.62557374064482e-09, ""kappa_min_discrepancy"": 1.9095836023552692e-14}"
11,optimal,5.500727684820083e-10,False,dual_certified,True,5.662010698515019e-06,1.0012502604378564,0.04999999998975109,-4.559331084452722e-06,[1],False,59.864456934798525,random_1,1.762747174039086,3.455458779481156,207.6058955192566,0.15260648727416992,"[0.08367862348937816, 0.16035656997770062, 0.3658555318281122, 0.3471289704521579, 0.41919254327213396, 0.07674052159633789, -0.07674044020393224, -0.4191925077009892, -0.3471289903743671, -0.3658555744655289, -0.1603566093816887, -0.08367863848931464]","[1.0, 1.0872794115907782, 1.2763892502620675, 1.840230297171674, 2.603924410625404, 3.9598741284627534, 4.275721074726723, 3.9598744507664474, 2.6039247151896654, 1.8402304757500985, 1.2763893197026537, 1.0872794278999003, 0.9999999999999998]","{""(1,)"": 1.0012502604383657, ""(-1,)"": 1.0012502604433529}","{""delta_discrepancy"": 1.7384949940291665e-09, ""kappa_min_discrepancy"": 5.093703236980218e-13}"
