
=== Spec A ===  one-layer a1=0.571533
  n=1 L= 2 sigma=+1  infeasible  [12 start-types, 12 starts, 6.74s]
  n=1 L= 2 sigma=-1  delta=2.896599e-01  [12 start-types, 12 starts, 0.87s]
  n=1 L= 3 sigma=+1  infeasible  [12 start-types, 12 starts, 3.28s]
  n=1 L= 3 sigma=-1  infeasible  [12 start-types, 12 starts, 3.86s]
  n=1 L= 4 sigma=+1  delta=7.888521e-01  [12 start-types, 12 starts, 1.09s]
  n=1 L= 4 sigma=-1  infeasible  [12 start-types, 12 starts, 6.38s]
  n=1 L= 5 sigma=+1  infeasible  [12 start-types, 12 starts, 4.82s]
  n=1 L= 5 sigma=-1  infeasible  [12 start-types, 12 starts, 3.31s]
  n=1 L= 6 sigma=+1  infeasible  [12 start-types, 12 starts, 5.05s]
  n=1 L= 6 sigma=-1  infeasible  [12 start-types, 12 starts, 2.57s]
  n=1 L= 7 sigma=+1  infeasible  [12 start-types, 12 starts, 3.69s]
  n=1 L= 7 sigma=-1  infeasible  [12 start-types, 12 starts, 2.05s]
  n=1 L= 8 sigma=+1  infeasible  [12 start-types, 12 starts, 2.71s]
  n=1 L= 8 sigma=-1  infeasible  [12 start-types, 12 starts, 5.11s]
  n=1 L= 9 sigma=+1  infeasible  [12 start-types, 12 starts, 4.14s]
  n=1 L= 9 sigma=-1  infeasible  [12 start-types, 12 starts, 3.07s]
  n=1 L=10 sigma=+1  infeasible  [12 start-types, 12 starts, 6.24s]
  n=1 L=10 sigma=-1  infeasible  [12 start-types, 12 starts, 6.25s]
  n=1 L=11 sigma=+1  infeasible  [12 start-types, 12 starts, 4.47s]
  n=1 L=11 sigma=-1  infeasible  [12 start-types, 12 starts, 3.13s]
  n=1 L=12 sigma=+1  infeasible  [12 start-types, 12 starts, 3.53s]
  n=1 L=12 sigma=-1  infeasible  [12 start-types, 12 starts, 4.38s]
  checkpointed through n=1 -> ../data/e2_results.json
  n=2 L= 3 sigma=+1  infeasible  [11 start-types, 11 starts, 6.43s]
  n=2 L= 3 sigma=-1  infeasible  [11 start-types, 11 starts, 5.12s]
  n=2 L= 4 sigma=+1  delta=1.004420e-01  [11 start-types, 11 starts, 1.89s]
  n=2 L= 4 sigma=-1  infeasible  [11 start-types, 11 starts, 7.16s]
  n=2 L= 5 sigma=+1  infeasible  [11 start-types, 11 starts, 3.34s]
  n=2 L= 5 sigma=-1  infeasible  [11 start-types, 11 starts, 5.74s]
  n=2 L= 6 sigma=+1  infeasible  [11 start-types, 11 starts, 5.10s]
  n=2 L= 6 sigma=-1  infeasible  [11 start-types, 11 starts, 6.91s]
  n=2 L= 7 sigma=+1  infeasible  [11 start-types, 11 starts, 3.43s]
  n=2 L= 7 sigma=-1  infeasible  [11 start-types, 11 starts, 4.27s]
  n=2 L= 8 sigma=+1  infeasible  [11 start-types, 11 starts, 6.25s]
  n=2 L= 8 sigma=-1  infeasible  [11 start-types, 11 starts, 5.85s]
  n=2 L= 9 sigma=+1  infeasible  [11 start-types, 11 starts, 5.49s]
  n=2 L= 9 sigma=-1  infeasible  [11 start-types, 11 starts, 5.09s]
  n=2 L=10 sigma=+1  infeasible  [11 start-types, 11 starts, 3.70s]
  n=2 L=10 sigma=-1  infeasible  [11 start-types, 11 starts, 6.99s]
  n=2 L=11 sigma=+1  infeasible  [11 start-types, 11 starts, 2.86s]
  n=2 L=11 sigma=-1  infeasible  [11 start-types, 11 starts, 3.34s]
  n=2 L=12 sigma=+1  infeasible  [11 start-types, 11 starts, 5.00s]
  n=2 L=12 sigma=-1  infeasible  [11 start-types, 11 starts, 3.69s]
  checkpointed through n=2 -> ../data/e2_results.json
  n=3 L= 4 sigma=+1  delta=1.075719e-03  [12 start-types, 12 starts, 6.56s]
  n=3 L= 4 sigma=-1  infeasible  [12 start-types, 12 starts, 12.26s]
  n=3 L= 5 sigma=+1  infeasible  [12 start-types, 12 starts, 4.96s]
  n=3 L= 5 sigma=-1  infeasible  [12 start-types, 12 starts, 9.14s]
  n=3 L= 6 sigma=+1  infeasible  [12 start-types, 12 starts, 10.44s]
  n=3 L= 6 sigma=-1  delta=4.017175e-03  [12 start-types, 12 starts, 4.77s]
  n=3 L= 7 sigma=+1  infeasible  [12 start-types, 12 starts, 12.60s]
