n,d,L,sigma,feasible,delta,delta_per_I1_component,alpha,rho,A_minus1,antisym_residual,sym_residual,p_per_component,a,e,kappa_min_I0,beta,max_abs_kappa_I1_excluding_zero,n_starts_converged,n_starts_total,best_start_type,wall_time_s,eps0_N1,eps0_N2,eps0_N5,eps0_N9,eps0_N20,eps1_N1,eps1_N2,eps1_N5,eps1_N9,eps1_N20
3,1,4,1,False,,,,,,,,,,,,,,0,250,,38.55443239212036,,,,,,,,,,
3,3,6,-1,False,,,,,,,,,,,,,,0,250,,47.5321569442749,,,,,,,,,,
3,5,8,1,False,,,,,,,,,,,,,,0,250,,44.170281648635864,,,,,,,,,,
3,7,10,-1,False,,,,,,,,,,,,,,0,250,,43.756874799728394,,,,,,,,,,
3,9,12,1,False,,,,,,,,,,,,,,0,250,,30.002850770950317,,,,,,,,,,
5,1,6,-1,True,0.032871412424680946,0.03287136746732644;0.032871412424680946,-0.24105886961189157;0.37480288023987185;-0.4728884636013504;0.472888462205199;-0.3748028798390976;0.24105887060726877,0.7857953655584837;1.1431001606951627;0.712379536314154;1.1431001590992218;0.785795364776321,-2.1775004261046793,1.3961514166993538e-09,0.9457769258065494,0;1,1,0,1.0526294624828674,7.107190820663362,0.9999999920090202,178,250,random,72.52088379859924,0.12334728787328285,0.03076933676032788,0.002599657208752632,0.0001824715803984226,1.4869545982923064e-07,0.03182527082196496,0.10021717306306899,0.14986929787392944,0.08571023670095401,0.1721666668832028
5,3,8,1,False,,,,,,,,,,,,,,0,251,,149.59012150764465,,,,,,,,,,
5,5,10,-1,False,,,,,,,,,,,,,,0,250,,107.31628751754761,,,,,,,,,,
5,7,12,1,False,,,,,,,,,,,,,,0,250,,87.4808874130249,,,,,,,,,,
5,9,14,-1,False,,,,,,,,,,,,,,0,250,,73.13187217712402,,,,,,,,,,
7,1,8,1,True,0.017221638897607194,0.017221573532317347;0.017221638897607194,0.26083167671364405;-0.4228067710939657;0.5106161170805743;-0.6297738929946934;0.6298037461994681;-0.5106246642590719;0.42281837166605685;-0.26086458331201223,1.2980091618767402;0.8504623855691943;1.4171403777951892;0.754928021307496;1.4171826846085758;0.8504805057361625;1.298051875645687,3.648139823319487,3.2906598368187545e-05,1.2595776391941615,0;1,0,1,4.229605836885364,,1.0000000000000069,1,251,random,229.26806735992432,0.010944434740655576,0.00015461289337846505,4.5957505008851655e-10,1.964810659993276e-17,1.0677570031403448e-37,0.0169300752550553,0.048576017440128516,0.05870444376444328,0.062231953644932836,0.06002254478693125
7,3,10,-1,False,,,,,,,,,,,,,,0,251,,292.0024905204773,,,,,,,,,,
7,5,12,1,False,,,,,,,,,,,,,,0,250,,336.52879428863525,,,,,,,,,,
7,7,14,-1,False,,,,,,,,,,,,,,0,250,,203.27338576316833,,,,,,,,,,
7,9,16,1,False,,,,,,,,,,,,,,0,250,,223.33559155464172,,,,,,,,,,
