geometry,n,d,L,sigma,feasible,delta,alpha,rho,A_minus1,antisym_residual,sym_residual,n_active_B_per_component,n_active_C_per_component,kappa_min_per_C_component,max_abs_kappa_I1,beta_per_active_C_point,best_start_type,n_starts_converged,n_starts_total,wall_time_s
A,3,1,4,1;1,True,0.3987613781831243,0.8496732055;-1.198472401;1.198472396;-0.8496732004,2.338882393;0.7055347907;2.338882381,4.096291202558196,5.094967558960661e-09,2.3969447965846213,1,1;0,1.0526294624828563;24.991303420941207,1.0000000000000209,[42.63632426171367];[],random,20,250,39.57604742050171
A,3,1,4,-1;1,True,0.1735323271675997,-0.4188659629;0.7349964806;-0.1856281495;-0.1305023682,0.6577923579;1.371809289;1.139400638,-1.2089882247987043,0.5493683311313916,0.9206246300317796,1,1;1,1.0526294624828947;1.0526294624829045,0.9999999935912057,[1.9966264514531096];[2.4203422840018427],random,247,250,11.857450723648071
A,3,3,6,1;-1,True,0.00962563923049542,0.4055533699;-0.8591691371;0.8591690832;-0.405553316,1.500132399;0.6353267997;1.500132318,2.529444906172418,5.389094426266894e-08,1.7183382203015354,1,1;0,1.0526294624829033;2.692779954634653,0.9999999848434638,[2.012630998426432];[],random,205,251,27.730045318603516
A,3,3,6,-1;-1,False,,,,,,,,,,,,,0,251,29.11151909828186
A,3,5,8,1;1,False,,,,,,,,,,,,,0,251,16.689598083496094
A,3,5,8,-1;1,False,,,,,,,,,,,,,0,250,40.528183460235596
A,3,7,10,1;-1,False,,,,,,,,,,,,,0,250,22.14708924293518
A,3,7,10,-1;-1,False,,,,,,,,,,,,,0,250,29.295793533325195
A,3,9,12,1;1,False,,,,,,,,,,,,,0,250,28.19584321975708
A,3,9,12,-1;1,False,,,,,,,,,,,,,0,250,17.352981328964233
A,3,11,14,1;-1,False,,,,,,,,,,,,,0,250,18.197041511535645
A,3,11,14,-1;-1,False,,,,,,,,,,,,,0,250,21.038575887680054
A,3,13,16,1;1,False,,,,,,,,,,,,,0,250,17.567792177200317
A,3,13,16,-1;1,False,,,,,,,,,,,,,0,250,19.78161644935608
A,5,1,6,1;-1,True,4.679160384579717e-05,-0.1636337234;0.5397770984;-0.8423966652;0.8423967402;-0.5397772835;0.1636338334,0.8490529532;1.456655967;0.6273483627;1.456656076;0.8490528597,-3.0916153441133503,1.8505315713124304e-07,1.6847934054107276,3,1;0,1.0526294624829047;6.282389037311183,0.9999999845250698,[0.8650512260107204];[],random,146,251,100.38008546829224
A,5,1,6,-1;-1,False,,,,,,,,,,,,,0,251,156.2833821773529
A,5,3,8,1;1,False,,,,,,,,,,,,,0,252,73.34861016273499
A,5,3,8,-1;1,False,,,,,,,,,,,,,0,250,77.66030359268188
A,5,5,10,1;-1,False,,,,,,,,,,,,,0,250,49.68212604522705
A,5,5,10,-1;-1,False,,,,,,,,,,,,,0,250,104.25704407691956
A,5,7,12,1;1,False,,,,,,,,,,,,,0,250,47.31877851486206
A,5,7,12,-1;1,False,,,,,,,,,,,,,0,250,62.572983741760254
A,5,9,14,1;-1,False,,,,,,,,,,,,,0,250,70.3032386302948
A,5,9,14,-1;-1,False,,,,,,,,,,,,,0,250,46.00520730018616
A,5,11,16,1;1,False,,,,,,,,,,,,,0,250,64.21355271339417
A,5,11,16,-1;1,False,,,,,,,,,,,,,0,250,41.70930337905884
A,5,13,18,1;-1,False,,,,,,,,,,,,,0,250,24.441066026687622
A,5,13,18,-1;-1,False,,,,,,,,,,,,,0,250,60.68352508544922
