A_n3_d1_s1_1  delta=3.987614e-01  [20/250 converged, start=random, 39.6s]
A_n3_d1_s-1_1  delta=1.735323e-01  [247/250 converged, start=random, 11.9s]
A_n3_d3_s1_-1  delta=9.625639e-03  [205/251 converged, start=random, 27.7s]
A_n3_d3_s-1_-1  INFEASIBLE  [0/251 converged, 29.1s]
A_n3_d5_s1_1  INFEASIBLE  [0/251 converged, 16.7s]
A_n3_d5_s-1_1  INFEASIBLE  [0/250 converged, 40.5s]
A_n3_d7_s1_-1  INFEASIBLE  [0/250 converged, 22.1s]
A_n3_d7_s-1_-1  INFEASIBLE  [0/250 converged, 29.3s]
A_n3_d9_s1_1  INFEASIBLE  [0/250 converged, 28.2s]
A_n3_d9_s-1_1  INFEASIBLE  [0/250 converged, 17.4s]
A_n3_d11_s1_-1  INFEASIBLE  [0/250 converged, 18.2s]
A_n3_d11_s-1_-1  INFEASIBLE  [0/250 converged, 21.0s]
A_n3_d13_s1_1  INFEASIBLE  [0/250 converged, 17.6s]
A_n3_d13_s-1_1  INFEASIBLE  [0/250 converged, 19.8s]
A_n5_d1_s1_-1  delta=4.679160e-05  [146/251 converged, start=random, 100.4s]
A_n5_d1_s-1_-1  INFEASIBLE  [0/251 converged, 156.3s]
A_n5_d3_s1_1  INFEASIBLE  [0/252 converged, 73.3s]
A_n5_d3_s-1_1  INFEASIBLE  [0/250 converged, 77.7s]
A_n5_d5_s1_-1  INFEASIBLE  [0/250 converged, 49.7s]
A_n5_d5_s-1_-1  INFEASIBLE  [0/250 converged, 104.3s]
A_n5_d7_s1_1  INFEASIBLE  [0/250 converged, 47.3s]
A_n5_d7_s-1_1  INFEASIBLE  [0/250 converged, 62.6s]
A_n5_d9_s1_-1  INFEASIBLE  [0/250 converged, 70.3s]
A_n5_d9_s-1_-1  INFEASIBLE  [0/250 converged, 46.0s]
A_n5_d11_s1_1  INFEASIBLE  [0/250 converged, 64.2s]
A_n5_d11_s-1_1  INFEASIBLE  [0/250 converged, 41.7s]
A_n5_d13_s1_-1  INFEASIBLE  [0/250 converged, 24.4s]
A_n5_d13_s-1_-1  INFEASIBLE  [0/250 converged, 60.7s]
B_n3_d1_s1  INFEASIBLE  [0/300 converged, 57.7s]
B_n3_d1_s-1  delta=1.123691e+00  [232/300 converged, start=random, 25.6s]
B_n3_d2_s1  INFEASIBLE  [0/300 converged, 59.0s]
B_n3_d2_s-1  INFEASIBLE  [0/300 converged, 64.5s]
B_n3_d3_s1  INFEASIBLE  [0/300 converged, 48.7s]
B_n3_d3_s-1  INFEASIBLE  [0/301 converged, 47.9s]
B_n3_d4_s1  INFEASIBLE  [0/300 converged, 62.9s]
B_n3_d4_s-1  INFEASIBLE  [0/300 converged, 50.2s]
B_n3_d5_s1  INFEASIBLE  [0/300 converged, 43.5s]
B_n3_d5_s-1  INFEASIBLE  [0/300 converged, 48.6s]
B_n3_d6_s1  INFEASIBLE  [0/300 converged, 46.2s]
B_n3_d6_s-1  INFEASIBLE  [0/300 converged, 47.1s]
B_n3_d7_s1  INFEASIBLE  [0/300 converged, 36.0s]
B_n3_d7_s-1  INFEASIBLE  [0/300 converged, 49.3s]
B_n5_d1_s1  delta=1.694513e+00  [255/300 converged, start=random, 179.7s]
B_n5_d1_s-1  INFEASIBLE  [0/301 converged, 164.9s]
B_n5_d2_s1  INFEASIBLE  [0/300 converged, 125.9s]
B_n5_d2_s-1  INFEASIBLE  [0/300 converged, 231.5s]
B_n5_d3_s1  INFEASIBLE  [0/301 converged, 144.6s]
B_n5_d3_s-1  INFEASIBLE  [0/300 converged, 192.5s]
B_n5_d4_s1  INFEASIBLE  [0/300 converged, 226.0s]
B_n5_d4_s-1  INFEASIBLE  [0/300 converged, 169.4s]
B_n5_d5_s1  INFEASIBLE  [0/300 converged, 145.4s]
B_n5_d5_s-1  INFEASIBLE  [0/300 converged, 156.9s]
B_n5_d6_s1  INFEASIBLE  [0/300 converged, 157.1s]
B_n5_d6_s-1  INFEASIBLE  [0/300 converged, 126.6s]
B_n5_d7_s1  INFEASIBLE  [0/300 converged, 107.3s]
B_n5_d7_s-1  INFEASIBLE  [0/300 converged, 140.2s]

total multi-geometry sweep time: 4273.3s
saved results_multi_checkpoint.json
