n,d,L,sigma,feasible,delta,alpha,rho,kappa_min_I0,kappa_max_I1,Q_max_I0,beta_J,d_cap_aposteriori,min_Q,n_starts_converged,n_starts_total,best_start_type,solver_iters,wall_time_s
1,1,2,1,False,,,,,,,,,,0,250,,,25.791622400283813
1,1,2,-1,True,0.06443708010022142,-0.3111824785;0.3111824785,0.7325801835,1.0526294624828894,0.9999999986747347,1.440003905595797,0.5008181438467971,3.825968792799632,0.9999999999999996,249,250,random,14,2.234707832336426
1,2,3,1,False,,,,,,,,,,0,250,,,10.009068965911865
1,2,3,-1,False,,,,,,,,,,0,251,,,5.498558044433594
1,3,4,1,True,0.33285313747671363,0.5994862955;-0.5994862955,1.82118301,1.052629462482895,0.9999999937186588,3.272863392502865,0.9497938923060157,7.2558908581917,1.0,247,250,antisym,8,4.882949590682983
1,3,4,-1,False,,,,,,,,,,0,250,,,24.311555862426758
1,4,5,1,False,,,,,,,,,,0,251,,,4.380929946899414
1,4,5,-1,False,,,,,,,,,,0,250,,,8.942995309829712
1,5,6,1,False,,,,,,,,,,0,250,,,22.72121500968933
1,5,6,-1,False,,,,,,,,,,0,250,,,8.444078922271729
1,6,7,1,False,,,,,,,,,,0,250,,,7.663508415222168
1,6,7,-1,False,,,,,,,,,,0,250,,,3.003032922744751
1,7,8,1,False,,,,,,,,,,0,250,,,6.45585823059082
1,7,8,-1,False,,,,,,,,,,0,250,,,8.230143547058105
1,8,9,1,False,,,,,,,,,,0,250,,,3.223393201828003
1,8,9,-1,False,,,,,,,,,,0,250,,,9.07841968536377
1,9,10,1,False,,,,,,,,,,0,250,,,7.8824968338012695
1,9,10,-1,False,,,,,,,,,,0,250,,,6.2173216342926025
1,10,11,1,False,,,,,,,,,,0,250,,,6.351004123687744
1,10,11,-1,False,,,,,,,,,,0,250,,,6.226174592971802
1,11,12,1,False,,,,,,,,,,0,250,,,6.742442607879639
1,11,12,-1,False,,,,,,,,,,0,250,,,6.798283338546753
3,1,4,1,True,0.0004672221733286186,0.1622797954;-0.3989096324;0.3989096342;-0.1622797972,1.176189288;0.7892833975;1.17618929,1.0526294624828745,0.999999994643906,2.8860204504406077,0.902537140531269,6.894875867499653,0.9999999999999986,220,251,random,33,13.95444393157959
3,1,4,-1,False,,,,,,,,,,0,252,,,32.03527021408081
3,2,5,1,False,,,,,,,,,,0,252,,,18.75247812271118
3,2,5,-1,False,,,,,,,,,,0,251,,,15.879783630371094
3,3,6,1,False,,,,,,,,,,0,252,,,35.20724606513977
3,3,6,-1,True,0.0022773427349145337,0.2762838808;-0.6379709797;0.6379710009;-0.2762839019,1.318222029;0.6965002694;1.318222057,1.0526294624828485,0.9999999869759563,10.192874858641625,1.2348039204385801,9.433207088978474,1.0,213,251,random,39,16.354641437530518
3,4,7,1,False,,,,,,,,,,0,251,,,15.951446294784546
3,4,7,-1,False,,,,,,,,,,0,252,,,16.357920169830322
3,5,8,1,True,2.629023976213837,0.8141536283;-1.46382799;1.463827539;-0.8141531767,2.257264379;0.5222158024;2.25726336,6.395236269846208,0.9999999999999987,2266.180238750234,1.5486825106509265,11.83106288880297,0.9999999999999147,1,251,random,127,48.40690875053406
3,5,8,-1,False,,,,,,,,,,0,251,,,31.763811588287354
3,6,9,1,False,,,,,,,,,,0,252,,,18.64553213119507
